PRICE,SQFT,YEAR,BATHS,FEATS,NBR,CORNER,TAX
1350,1142,1959,1.5,0,NO,NO,557.5
2550,1478,1961,2,3,YES,YES,1565
1550,1480,1965,1.5,4,NO,NO,1275
1827.5,1299,1967,1,6,YES,NO,1462.5
1800,1121,1968,1.5,4,YES,NO,995
1747.5,1400,1969,1.5,1,NO,YES,1202.5
1750,1505,1969,1.5,2,NO,YES,1477.5
1800,1050,1970,1,1,YES,NO,1027.5
1925,900,1971,1,3,NO,NO,977.5
1750,1215,1971,1.5,3,YES,NO,1192.5
1872.5,1733,1971,1.5,6,YES,NO,1640
3950,2563,1971,2,2,NO,NO,2972.5
1675,1181,1972,1,4,YES,NO,1100
1812.5,1140,1973,1,3,YES,YES,1225
2125,1190,1973,1,1,YES,NO,1500
2175,1280,1974,1,1,YES,NO,1497.5
2347.5,1428,1974,1.5,2,NO,NO,1752.5
2225,1746,1975,1,2,YES,NO,1477.5
2050,1375,1976,1.5,1,NO,NO,1462.5
2190,1156,1977,1,1,YES,NO,1492.5
1950,1080,1979,1,3,NO,NO,1500
2622.5,1900,1980,2,3,YES,NO,1725
2675,1464,1981,1.5,2,NO,NO,940
2550,1713,1984,1.5,4,YES,YES,1500
3882.5,2200,1986,2,4,YES,NO,2587.5
3762.5,2931,1986,2.5,3,YES,YES,2855
3250,2000,1988,2,3,YES,NO,2690
2700,2200,1988,2,4,YES,NO,2690
3247.5,2743,1989,2,5,YES,YES,3080
1812.5,1280,1991,1,3,NO,NO,1117.5
3375,2253,1991,2,4,YES,NO,2347.5
1775,1083,1992,1,4,YES,NO,1260
1650,1159,1993,1,0,NO,NO,562.5
2247.5,1464,1994,1,2,YES,NO,1415
2335,1543,1994,1.5,3,YES,NO,2050
1500,1198,1995,1,4,NO,NO,1075
3997.5,2440,1995,2,5,YES,NO,3162.5
1822.5,1007,1995,1,6,YES,NO,1282.5
2750,1657,1995,1.5,4,YES,NO,2162.5
2925,1928,1996,1,8,YES,NO,1500
1932.5,1320,1997,1,5,YES,NO,1285
2087.5,1560,1997,1.5,5,YES,YES,1595
2305,1326,1997,1.5,4,YES,NO,1670
2437.5,1360,1997,1,4,YES,NO,1740
2847.5,1680,1997,1.5,4,YES,YES,1875
2400,1573,1997,1,6,YES,NO,1920
3125,2277,1997,2,4,YES,NO,2525
3125,2180,1997,2,4,YES,YES,2852.5
2250,1400,1998,1,2,YES,YES,1827.5
2887.5,1767,1998,1,4,YES,NO,1985
2812.5,1710,1998,1.5,4,YES,NO,2000
2487.5,1725,1998,1,3,YES,NO,2307.5
1450,1051,1999,1,2,NO,NO,1065
2312.5,1050,1999,1,2,YES,YES,1382.5
1725,1348,1999,1.5,2,YES,NO,1582.5
2150,1385,1999,1,2,YES,NO,1632.5
2950,1830,1999,1,3,YES,NO,1832.5
2487.5,1500,1999,1,4,YES,NO,1857.5
2437.5,1430,1999,1,3,YES,NO,1880
2775,1630,1999,1,3,YES,YES,2167.5
3000,1948,1999,2,4,YES,NO,2247.5
3125,2150,1999,1,3,YES,NO,2460
3097.5,1706,2000,1.5,4,YES,NO,2025
3087.5,1894,2000,1,5,YES,NO,2780
1675,1350,2001,1.5,2,YES,NO,1555
2025,1365,2001,1.5,2,YES,NO,1682.5
4062.5,2650,2001,2.5,7,YES,NO,3847.5
2625,1680,2001,1.5,4,YES,NO,2187.5
2437.5,1739,2001,2,3,NO,NO,2200
2137.5,1900,2003,2,3,YES,NO,1950
1547.5,837,2004,1,2,YES,NO,855
4450,2600,2004,2.5,4,YES,NO,3220
2362.5,1580,2005,2,3,NO,NO,2025
1875,1338,2006,1.5,3,YES,YES,1622.5
2222.5,1549,2006,1.5,4,YES,NO,1807.5
3175,1880,2006,1.5,6,YES,NO,2325
5250,2750,2006,3,4,NO,YES,4062.5
2625,1920,2006,2,4,NO,NO,2360
1825,1027,2007,1,3,YES,NO,1067.5
1915,1200,2007,1.5,4,NO,YES,1585
2500,1535,2007,1.5,5,NO,YES,1670
2172.5,1165,2007,1.5,4,NO,NO,1735
2437.5,1500,2007,1.5,3,NO,YES,1750
2012.5,1258,2007,1.5,4,YES,YES,2052.5
2300,1415,2007,2,4,NO,NO,2165
2375,1715,2007,2,3,NO,NO,2250
2822.5,1700,2008,2,4,NO,NO,1812.5
2187.5,1173,2008,1,4,YES,NO,1140
1997.5,1314,2008,1.5,2,YES,NO,1677.5
2180,1229,2008,1.5,3,NO,NO,1802.5
2612.5,1630,2008,2,4,NO,NO,1875
2625,1620,2008,2,4,NO,NO,2000
2575,1540,2008,1.5,2,NO,YES,2065
5250,2664,2008,2.5,5,YES,NO,3832.5
1875,1030,2009,1,1,YES,NO,1215
2350,1305,2009,2,3,NO,NO,1617.5
3325,1850,2009,2,5,NO,YES,2277.5
2387.5,1565,2009,1.5,3,YES,NO,1620
2550,1606,2009,1.5,4,NO,NO,2027.5
2900,1720,2009,2,4,NO,NO,2167.5
4500,2116,2009,3,3,NO,NO,3022.5
1897.5,997,2010,1,4,YES,NO,1152.5
1847.5,970,2010,1,4,NO,YES,1352.5
2175,1273,2010,1.5,4,NO,NO,1595
2772.5,1740,2010,2,3,NO,NO,2040
3437.5,1837,2010,1.5,5,YES,NO,2977.5
5375,2848,2010,3,6,YES,NO,3717.5
4500,2580,2010,2.5,4,YES,NO,3835
4360,2250,2010,2.5,6,NO,NO,4287.5
4747.5,2580,2010,2.5,4,YES,NO,4330
1887.5,1275,2011,1.5,5,YES,NO,1117.5
2185,1236,2011,2,4,NO,NO,1767.5
5375,2921,2011,3,6,YES,NO,4087.5
4500,2774,2012,3,4,YES,NO,4412.5
3622.5,1710,2013,2,3,YES,NO,2525
3625,2150,2013,2,4,YES,NO,2725
3900,1920,2013,2,5,YES,NO,2902.5
